darija,eng,darija_ar
hadok lbrahsh ghir kayhn9zo,those kids are fool,هادوك البراهش غير كايهنقزو
sh3rha twil w msbsb,her hair is long ,شعرها طويل و مسبب
mskhota makatskotsh,she don't stop talking,مسخوتة ماكاتسكتش
shhal fih diyal lhdra,she speak to much,شهال فيه ديال الهدرا
kon gha masm3tosh,I wish I haven't hear him,كون غا ماسمعتوش
wa hanta 3dha zhr,she is lucky,وا هانتا عدها زهر
goli liha rani kantsnak hna,tell her that I'am waiting for her here,قولي ليها راني كنتسناك هنا
shritha bflossi,I bought her with my money,شريتها بفلوسي
shofi kifash katshof fina,look how she is looking at us,شوفي كيفاش كتشوف فينا
m3dha 3lash thshm,she isn't ashamed,معدها علاش تهشم
knt ghada walayni drt bna9s,I was going to but I changed my mind,كنت غادي والايني درت بناقص
9tltini bdhk,I laughed so hard,قتلتيني بالذك
stitini bdhk,I laughed so hard,ستيتيني بالذك
kon knt fblastk kon khditha,if I were in your place I would have took her,كون كنت فبلاصتك كون خديتها
hadik ga3ma kathmni,I don't care about her,هاديك ڭاعما كاتهمني
khasni nshri shihaja darori,I must buy something,خاصني نشري شيحاجة داروري
mshit lsou9,i did go to market,مشيت لسوق
mal9itsh hadakshi li bghit,i didn't find what i want,مالقيتش هاداكشي لي بغيت
wash hadik lblassa ba9a b3ida,is that place so far ,واش هاديك البلاصة باقة بعيدة
mabghitsh n3tlk,i don't want to make you late,مابغيتش نعطلك
ila knti zrbana ghir sb9ini,if you were busy just get ahead of me,إيلا كنتي زربانة غير سبقيني
ana jaya morak,I'am coming behind you,أنا جايا موراك
nsali m3a had nass w nji,I will come when i finish with those people ,نسالي معا هاد الناس و نجي
h9k maghadish ydi3,you will nit loose your right,هق ماغاديش يديع
ty9ini ana 3arf ash ka ngol,believe me i know what i'am saying,تيقيني أنا عارف أش كا نقول
sm3thom bwdni bjouj ash galo,I heard what they said  with my own ears ,سمعتهم بودني بجوج أش ڭالو
makandihash fhadok ana b3da,i have no interest in them,ماكانديهاش فهادوك أنا بعدا
kon gha sm3ti lhdrti gbila,I wish you have heard the talk  before,كون غا سمعتي لهدرتي جبيلا
ga3ma katsnti,you don't listen,ڭاعما كاتسنتي
wash gha nglso hna l3am kaml,are we gonna stay for whole year,واش غا نڭلسو هنا العام كامل
shi wahd hadina,someone is watching us,شي واحد هادينا
wash shfti lmahal li bnaw jdid,did you see the  new shop they build,واش شفتي المحل لي بناو جديد
dikor li fih wa3r bzaf,i like the scenery,ذكر لي فيه واعر بزاف
stani ana b3da,I like it so much,ستاني أنا بعدا
wash nmshiw nakhdo shihaja fhadak lmahal,do we go to take something in that shop,واش نمشيو ناخدو شيهاجة فهادك المحل
wash wslk lmessage li sift lik,did you receive the message i sent you,واش وصلك الميساج لي سيفت ليك
rdi lbal mzyan,take care very well,ردي البال مزيان
hada khlih matms7ihch,don't forget him,هادا خليه ماتمسحيش
tatji wanhdro rani ba9a massalitsh,we will speak when you come i haven't finished yet,تاتجي وانهدرو راني باقا ماساليتش
hadakshi ghatsalih dghya,you will finish it quickly,هاداكشي غاتساليه دغيا
kidaz lijtima3 ash galou likoum,how was the meeting what they told you,كيداز لجتماع أش ڭالو ليكوم
hta tji w ngolik,I will tell you when you come,حتى تجي و نقوليك
baz lik shhal fik,you exagerate,باز ليك شحال فيك
khask t3tini lfleus nversihoum,you need to give me money to wire them up,خاصك تعطيني الفلوس نفرسيهوم
khask tji daba,you need to come now,خاصك تجي دابا
trjmi liya had ljomla,translate this phrases,ترجمي ليا هاد الجملة
wash nti b39lk,are you in your mind,واش نتي بعقلك
matlabty gha lmjod,i accept your request,ماتلبتي غا المجد
makntsh gha nty9 hadshi,i wasn't going to trust this,ماكنتش غا نتيق هادشي
kon 3rft hakda kon jit mn gbila,if I knew I would have come shortly before,كون عرفت هاكدا كون جيت من جبيلة
zrbt bzaf,i was fast,زربت بزاف
kan khasni nji m3aha gbila,I should hace come with her,كان خاصني نجي معاها جبيلا
3lash makmltish dakshi li gtlik,why you didn't finish what i told you,علاش ماكملتيش داكشي لي ڭتليك
wash wslk lmessage,did you receive the message,واش وصلك الميساج
safi rtahiti daba,are you relaxed now,صافي رتاهيتي دابا
daba 3ad thnina,now we can rest,دابا عد تهنينا
kon ghir 3awntinini,I wish you haved help me,كون غير عاونتيني
gha nsaliw bkri lyom,we will finish early today,غا نساليو بكري اليوم
ghi bla ma thawl,don't try,غير بلا ما تهول
kon ktbt mn gbila kon salit,If I start writing earlier I would have finished,كون كتبت من جبيلة كون ساليت
bghit gha nrtah,i want to rest,بغيت غا نرتاه
ana ga3ma mty9a,I don't believe ,أنا ڭاعمة متيقة
madrti fiha mayslah,you did a bad thing,مادرتي فيها مايسله
kon saliti mn gbila kon mshiti m3ahom,if you have finished before I would have gone with them,كون ساليتي من جبيلة كون مشيتي معاهوم
nta dima m3tl,you always late,نتا ديما معطل
t3lm tji shwiya bkri,learn to get here early ,تعلم تجي شوية بكري
madirsh haka,don't do like that,ماديرش هاكا
ana kayn hda mol lhanot,I'am next to the shop,أنا كاين هدا مول لهانوت
makhdit walo,i took nothing,ماخدت والو
kon gha jaw khlas,I wish they have come ,كون غا جاو خلاص
wash mazal ma salitosh,didn't you finish,واش مازال ما ساليتوش
tfrjti flvideo li sift lik,did you watch the video i sended you,تفرجتي فالفيديو لي صيفتي ليك
ki jak dakshi,how did you find that,كي جاك داكشي
ana jit mn gbila,I have arrived a long time ago,أنا جيت من جبيلة
dwzna l imtihan mzyan,we passed very well the exam,دوزنا ل امتحان مزيان
droni 3iniya,my eyes hurts,دروني عينيا
makdbtsh 3lik ga3,he didn't lie ever,ماكدبتش عليك ڭاع
kon gha swltini,you should have asked me,كون غا سولتيني
ntoma ga3ma katy9o,you all believe,نتوما ڭاعمة كتيقو
kati9o ghi fli bghito,you trust only what you want,كتيقو غير في بغيتو
wash bghiti nghtik,do you want me to cover you,واش بغيتي نغيتيك
yakma drk lbrd,did cold hurt you,ياكما درك البرد
3lsh htiti sak flard,why you did put the bag in the ground,علش حتيتي ساك فلارد
hz hadak sak w sir lsou9,take that bag and go to market,هز هاداك ساك و سير لسوق
wash t9diti wla mazal,did you shop or not yer,واش تقديتي ولا مازال
lkhdra lyom ghaliya,vegetables are expensives today,الخضرا اليوم غالية
gha nmshi 3d lkhdar nt9da shi haja,I will go to the shop to buy something,غا نمشي عد الخضر نتقدا شي حاجة
sou9 kann 3amr,the market was full,سوق كان عامر
kan zham bzaf,the place was so crowded,كان زهم بزاف
khlast din li 3liya,I pay it my debt,خلصت دين لي عليا
mab9a kaytsalni tawahd,i'am debt free,مابقا كايتسلني تاواحد
wash mal9itish shi hd li y3awnk,didn't you find someone to help you,واش مالقيتيش شي هد لي يعاونك
ghir blama tswli,don't ask me,غير بلمة تسولي
kon l9it shi haja manjish 3dk,if I did find something I wouldn't have come,كون لقيت شي حاجة مانجيش عدك
akhti mazal makayn walo,sister they is nothing,أختي مزال ماكاين والو
hanya akhti mrhba,it is fine sister welcome,هانية أختي مرحبا
nmchiw m3a 7h l9dima nchalah,we go at  old 7h inchallah,نمشيو معا حه القديمة نشالله
ghir nmchiw nshdo taxi,we go to take a taxi,غير نمشيو نشدو تاكسي
malin dar bikhir,the family are fine,مالين دار بخير
magalina walo a khti,he told us nothing sister,ماڭالينا والو أ ختي
lah ibark fik,god bless you,الله إبارك فيك
safi mashi moshkil mra khra,no problem another time,صافي ماشي مشكل مرة أخرى
la mazal mashftha ga3,I haven't seen her yet,لا مازال ماشفتها ڭاع
3andaki tnsay sbah bkri matsiftihom,don't forget to send him early in the morning,عندك تنساي صباح بكري ماتصيفتيهم
rah bgha ysifthom,he want to send them,راه بغا يسيفتهم
hna li khasna nsawboh,we need to fix it,هنا لي خاصنا نسوبوه
mashi moshkil,no problem,ماشي مشكل
wash kolshi khlss,is everything is paid,واش كولشي خلص
amdra fin wslti flkhlas,where did you get to,أمدرا فين وصلتي فالخلاص
3washrk mbrouka a khti,happy holiday,عواشرك مبروكة أ ختي
lo9ita li nsift lik ohbti,get down when iyou receive my message,لقيتا لي نسيفت ليك وهبتي
smhiliya akhti nsitk,forgive me sister I did forget,سمهليا أختي نسيتك
matgolish hakak hanya,don't say like that it is fine,ماتڭوليش هاكاك هانية
rah lwalida dyalk jabt liya dok lflous,your mother did bring money,راه الواليدة ديالك جابت ليا دوك الفلوس
wash makhditi walo,did you took nothing,واش ماخدتي والو
mazal ma9adit hadok lwra9,i haven't yet done with papers,مازال ماقدّيت هادوك لوراق
mashi moshkil ila ma9aditihomsh lyoma,no problem if i didn't fix them today,ماشي مشكل إيلا ماقدريتيهمش اليوم
slmt gbila 3la jartkom,I greet your neighboor,سلمت جبيلا على جرتكم
wash sfti ashno dwzo fl akhbar,did you see the news,واش سفتي أشنو دوزو فالأخبار
ma3rftsh wash nakhdom wla blash,i don't know if i need to work or not,ماعرفتش واش نخدم ولا بلاش
kon knti fblasti ashno gha diri,if you were in my place what you would have done,كون كنتي فبلاصتي أشنو غاديري
wash drti m3aha gbila,what did you do with her before,واش درتي معاها جبيلا
ashno gatlik,what they told you,أشنو ڭاتليك
wash ntoma wajdin wla mazal,are you ready or not,واش نتوما واجدين ولا مازال
khasna nwslo bkri,we need to get early,خاصنا نوصلو بكري
3dna bzaf maydar,we have a lot to do,عدنا بزاف مايدار
wash masm3to walo,didn't you hear something,واش ماسمعتو والو
hadshi kaykhl3 bzaf,this scare me a lot,هادشي كايخلع بزاف
wash nti li gltiha liha,are you the one who told him,واش نتي لي قلتيها ليها
yak goulti koulchi kay7tarmek,you did say everyone respect you ,ياك ڭولتي كولشي كايحترمك
mli nkoun nhdr m3ak shouf fiya,when i talk to you look me in the eyes,ملي نكون نهدر معاك شوف فيا
wash saliti wla mazal,did you finish or not,واش ساليتي ولا مازال
tatban liya mashi howa hadak,you look not fine,تاتبان ليا ماشي هو هاداك
wash shfti ashno tra gbila,did you see what happened before,واش شفتي أشنو طرا جبيلة
hadshi kaml tra,all of this happened,هادشي كامل ترا
yallah srbina,okey be quick,يالله سربينا
tl9na khlas,be quick,طلقنا خلاص
sir lhih hta nsali,go there until I finish,سير لهيه هتا نسالي
gls shd blastk,sit take your place,ڭلس شد بلاصتك
safi hbs 3liya hadshi,stop this,صافي هبس عليا هادشي
ghir bshwiya 3lik,take it slow,غير بشوية عليك
khli 3liya hadshi,leave this thing,خلي عليا هادشي
ghir b9a nta b3id,stay away from this,غير بقا نتا بعيد
blama tdkhl nta fhad shi,stay away from this,بالما تدخل نتا في هاد الشي
matb9ash tshouf fiya bhal hka,don't see me like this,ماتبقاش تشوف فيا بهال هكا
b9a b3id 3liya,stay do far from me,بقا بعيد عليا
ht rask fblasti,put yourself in my plce,هت راسك فبلاصتي
wash makntish ghadir bhali,did you not do like me,واش ماكنتيش غادير بالي
golha bshi tari9a akhra,say it in another way,قولها بشي طريقة أخرى
khli hadshi ghir bini w bink,leave this between us,خلي هادشي غير بيني و بينك
blama yssi9 shi hd lkhbar lhadshi,whitout them knowing,بلا ما يسيق شي هاد الخبر لهادشي
dir li fjhdh,do what you can,دير لي فجهده
matkhlihsh bouhdou,don't leave him alone,ماتخليهش بوحدو
mat9at3nish mli nkoun kanhdr,don't interrupt me when i'am speaking,ماتقتعنيش ملي نكون كانهضر
mli nkoun kanhdr nta tsnt liya,when i was talking you were spying on me,ملي نكون كانهضر نتا تسنت ليا
